Date,fromDate,toDate,bedtime,waketime,inBed,awake,fellAsleepIn,sessions,asleep,asleepAvg7,efficiency,efficiencyAvg7,quality,qualityAvg7,deep,deepAvg7,sleepBPM,sleepBPMAvg7,dayBPM,dayBPMAvg7,wakingBPM,wakingBPMAvg7,hrv,hrvAvg7
2021-03-15T20:59:59+11:00,"Sunday, 14 Mar 2021","Monday, 15 Mar 2021",14/03/2021 21:30,15/03/2021 5:09,7:39:00,0:15:00,0:00:00,1,7:24:00,8:25:34,96.7,98.7,6:51:33,7:25:46,4:20:17,2:53:38,56.3,57.7,76,76,53,56.6,60,90
2021-03-16T20:59:59+11:00,"Monday, 15 Mar 2021","Tuesday, 16 Mar 2021",15/03/2021 21:31,16/03/2021 5:52,8:21:00,0:00:00,0:00:00,1,8:21:00,8:25:42,100,98.7,7:16:19,7:24:54,2:31:49,2:51:31,55.3,57.7,,,53,55.6,70,75
2021-03-19T20:59:59+11:00,"Thursday, 18 Mar 2021","Friday, 19 Mar 2021",18/03/2021 22:33,19/03/2021 6:58,8:52:00,0:00:00,0:00:00,2,8:52:00,8:28:42,100,98.7,7:26:06,7:24:52,2:14:07,2:49:12,63.7,59,73.9,75.4,60,56.6,125,82
2021-03-20T20:59:59+11:00,"Friday, 19 Mar 2021","Saturday, 20 Mar 2021",19/03/2021 22:31,20/03/2021 7:28,8:57:00,0:00:00,0:00:00,1,8:57:00,8:34:17,100,99.5,7:55:37,7:29:01,3:34:48,2:54:01,59.2,59.2,70.2,74.7,59,56.7,42,77
2021-03-21T20:59:59+11:00,"Saturday, 20 Mar 2021","Sunday, 21 Mar 2021",20/03/2021 22:17,21/03/2021 7:18,9:01:00,0:00:00,0:00:00,1,9:01:00,8:40:17,100,99.5,7:58:50,7:36:37,3:30:23,3:04:38,57.2,59.1,80.2,75.4,58,57.1,43,67
2021-03-22T20:59:59+11:00,"Sunday, 21 Mar 2021","Monday, 22 Mar 2021",21/03/2021 21:15,22/03/2021 5:32,8:17:00,0:05:00,0:00:00,1,8:12:00,8:32:17,99,99.4,7:23:02,7:30:25,3:19:52,3:04:55,59,59.4,78.2,75.7,53,56.7,53,63
2021-03-23T20:59:59+11:00,"Monday, 22 Mar 2021","Tuesday, 23 Mar 2021",22/03/2021 21:16,23/03/2021 5:50,8:34:00,0:00:00,0:00:00,1,8:34:00,8:28:42,100,99.4,7:21:44,7:27:36,2:46:18,3:11:04,60.9,58.8,79.1,75.9,58,56.3,52,64
2021-03-24T20:59:59+11:00,"Tuesday, 23 Mar 2021","Wednesday, 24 Mar 2021",23/03/2021 21:15,24/03/2021 5:12,7:57:00,0:00:00,0:00:00,1,7:57:00,8:33:25,100,99.9,6:56:49,7:28:21,2:49:15,2:58:04,60.8,59.4,87.8,77.6,56,56.7,35,60
2021-03-25T20:59:59+11:00,"Wednesday, 24 Mar 2021","Thursday, 25 Mar 2021",24/03/2021 21:16,25/03/2021 5:52,8:36:00,0:00:00,0:00:00,1,8:36:00,8:35:34,100,99.9,7:12:20,7:27:47,2:16:35,2:55:54,60.5,60.2,88.2,79.7,58,57.4,73,60
2021-03-26T20:59:59+11:00,"Thursday, 25 Mar 2021","Friday, 26 Mar 2021",26/03/2021 0:15,26/03/2021 7:55,7:40:00,0:00:00,0:00:00,1,7:40:00,8:25:17,100,99.9,6:35:16,7:20:31,2:33:20,2:58:38,65.8,60.5,78.3,80.3,59,57.3,,
2021-03-27T20:59:59+11:00,"Friday, 26 Mar 2021","Saturday, 27 Mar 2021",27/03/2021 0:17,27/03/2021 8:57,8:40:00,0:00:00,0:00:00,1,8:40:00,8:22:51,100,99.9,7:13:49,7:14:33,2:48:14,2:51:59,67.5,61.7,76,81.1,59,57.3,60,51
2021-03-28T20:59:59+11:00,"Saturday, 27 Mar 2021","Sunday, 28 Mar 2021",28/03/2021 1:00,28/03/2021 9:12,8:12:00,0:00:00,0:00:00,1,8:12:00,8:15:51,100,99.9,7:17:34,7:08:39,3:04:30,2:48:17,57,61.6,83.1,81.5,59,57.4,83,57
2021-03-29T20:59:59+11:00,"Sunday, 28 Mar 2021","Monday, 29 Mar 2021",28/03/2021 21:15,29/03/2021 5:52,8:37:00,0:03:00,0:00:00,1,8:34:00,8:19:00,99.4,99.9,7:29:34,7:09:35,2:51:20,2:44:13,55.6,61.2,70.8,80.5,52,57.3,79,62
2021-03-30T20:59:59+11:00,"Monday, 29 Mar 2021","Tuesday, 30 Mar 2021",29/03/2021 21:30,30/03/2021 5:55,8:25:00,0:00:00,0:00:00,1,8:25:00,8:17:42,100,99.9,7:12:02,7:08:12,2:33:02,2:42:19,54.4,60.2,75.4,79.9,48,55.9,95,68
2021-03-31T20:59:59+11:00,"Tuesday, 30 Mar 2021","Wednesday, 31 Mar 2021",30/03/2021 21:17,31/03/2021 6:02,8:45:00,0:30:00,0:00:00,1,8:15:00,8:20:17,94.3,99.1,7:15:07,7:10:49,3:30:00,2:48:08,57.6,59.8,69.8,77.4,54,55.6,68,70
2021-04-01T20:59:59+11:00,"Wednesday, 31 Mar 2021","Thursday, 1 Apr 2021",31/03/2021 21:16,1/04/2021 5:53,8:37:00,0:09:00,0:00:00,1,8:28:00,8:19:08,98.3,98.9,7:15:10,7:11:13,2:18:33,2:48:25,55.3,59,70.8,74.9,52,54.7,84,77
2021-04-02T20:59:59+11:00,"Thursday, 1 Apr 2021","Friday, 2 Apr 2021",1/04/2021 21:16,2/04/2021 6:27,9:11:00,0:00:00,0:00:00,1,9:11:00,8:32:08,100,98.9,8:01:32,7:23:32,2:33:03,2:48:23,55.1,57.5,72.5,74.1,57,54.4,86,79
2021-04-03T20:59:59+11:00,"Friday, 2 Apr 2021","Saturday, 3 Apr 2021",2/04/2021 21:40,3/04/2021 6:07,8:27:00,0:00:00,0:00:00,1,8:27:00,8:30:17,100,98.9,7:10:53,7:23:07,2:33:38,2:46:18,60.6,56.5,74.9,73.9,56,54,81,82
2021-04-04T19:59:59+10:00,"Saturday, 3 Apr 2021","Sunday, 4 Apr 2021",3/04/2021 22:00,4/04/2021 6:33,9:33:00,0:15:00,0:00:00,1,9:18:00,8:39:42,97.4,98.5,8:15:50,7:31:27,3:31:08,2:50:06,56.4,56.4,78.7,73.3,59,54,74,81
2021-04-05T20:59:59+10:00,"Sunday, 4 Apr 2021","Monday, 5 Apr 2021",4/04/2021 21:16,5/04/2021 6:14,8:58:00,0:00:00,0:00:00,1,8:58:00,8:43:08,100,98.6,7:46:59,7:33:56,3:19:50,2:54:10,59.2,56.9,78.2,74.3,59,55,22,73
2021-04-06T20:59:59+10:00,"Monday, 5 Apr 2021","Tuesday, 6 Apr 2021",5/04/2021 21:15,6/04/2021 6:02,8:47:00,0:18:00,0:00:00,1,8:29:00,8:43:42,96.6,98.1,7:42:40,7:38:19,3:35:56,3:03:09,58.2,57.5,68.7,73.4,56,56.1,35,64
2021-04-07T20:59:59+10:00,"Tuesday, 6 Apr 2021","Wednesday, 7 Apr 2021",6/04/2021 21:07,7/04/2021 5:49,8:42:00,0:00:00,0:00:00,1,8:42:00,8:47:34,100,98.9,7:36:05,7:41:18,2:48:53,2:57:17,53.3,56.9,75.3,74.2,52,55.9,89,67
2021-04-08T20:59:59+10:00,"Wednesday, 7 Apr 2021","Thursday, 8 Apr 2021",7/04/2021 21:26,8/04/2021 5:50,8:24:00,0:00:00,0:00:00,1,8:24:00,8:47:00,100,99.1,7:16:30,7:41:30,2:32:44,2:59:18,55.2,56.9,69.6,74,58,56.7,47,62
2021-04-09T20:59:59+10:00,"Thursday, 8 Apr 2021","Friday, 9 Apr 2021",8/04/2021 21:21,9/04/2021 5:32,8:11:00,0:08:00,0:00:00,1,8:03:00,8:37:17,98.4,98.9,6:57:01,7:32:17,2:15:51,2:56:51,52.9,56.6,79.9,75,51,55.9,52,57
